,id,text,created_at
0,1289712469045211136,@Watchman1209007 @MelissaAFrancis And when do you suggest they go back?  Everyone doesn’t get a flu vaccine. You cannot force people to get a Covid vaccine when one is available.,2020-08-01T23:59:48.000Z
1,1289712353542455299,@Matt_Hopcraft @CapybaraHappy @InsidersABC @CaseyBriggs And a covid 19 vaccine....,2020-08-01T23:59:21.000Z
2,1289712276623089665,"La vacuna de coronavirus Moderna causa efectos secundarios en más del 50% de los pacientes; los anticuerpos desaparecen en 2-3 meses, lo que hace que la vacuna no tenga sentido

https://t.co/A6iMLcJbZd",2020-08-01T23:59:03.000Z
3,1289712231530274816,Great thread on the challenges of vaccine development. #coronavirus #VaccinesWork #COVID19Aus https://t.co/Lhdv3Fqsel,2020-08-01T23:58:52.000Z
4,1289712212232175617,"@cnnphilippines THE ANATHEMA OF TRUTH: CHINESE COVID-19 STRAINS: ATTACKS THE(ONE VACCINE EACH) BRAIN,EYE,EAR,NOSE,MOUTH,ESOPHAGUS,NECK,LUNGS,HEART,SPLEEN,KIDNEY,LIVER,STOMACH,GENITAL,ARTERIES,BLOOD CELLS,GENITALS &amp; SWEAT GLANDS OR MAKE IT 21 ORGANS.A ""NEEDLE IN THE MIDDLE OF THE SAHARA DESERT"".",2020-08-01T23:58:47.000Z
5,1289712191113838594,#redbubble #coronavirus #lockdown #Covid_19 #covid #BillGates #AntiVaccine #mask https://t.co/8igfOrLEeu,2020-08-01T23:58:42.000Z
6,1289712154937966592,@TIME @ianbremmer https://t.co/z8FuPLV2lr,2020-08-01T23:58:34.000Z
7,1289712137846153216,"Coronavirus vaccines: How they work, and the latest developments via @natgeo https://t.co/0ujokpHxbX",2020-08-01T23:58:30.000Z
8,1289712076433195008,@sirhottest Coronavirus has mutated since first discovered. They can’t possibly develop a #vaccine for the current strain.,2020-08-01T23:58:15.000Z
9,1289712047622504448,"WATCH: Next Time You’re Called A “Crank” Or “Flat Earther” On Concerns About A ‘Rushed’ Coronavirus Vaccine, Show Them This https://t.co/gmFrD3byKh",2020-08-01T23:58:08.000Z
10,1289711931788537859,I give you 80 hours to come up with COVID vaccine https://t.co/xYHYhZvDBa,2020-08-01T23:57:40.000Z
11,1289711917775253505,If you wear a mask or take good care of your self we are still going to get it the COVID-19 for no matter what if you taking good care or if you don’t it’s the same thing this vaccine needs to pass already I want the normal life back,2020-08-01T23:57:37.000Z
12,1289711910410051585,"The fight to keep the coronavirus at bay continues in #NorthKorea

Will the #DPRK eventually use its own vaccine {lacking adequate trials/testing like its ICBMs} to protect the population¿ Or would it turn to China for supplies. https://t.co/mxWtcJkiDc",2020-08-01T23:57:35.000Z
13,1289711736619012096,I’m seeing ads for covid 19 vaccine clinical trials on my facebook if anyone wants to join,2020-08-01T23:56:54.000Z
14,1289711688804175875,"Quack doctor Fauci is known to be tied to one, and only one, vaccine company.  Does anyone think he will approve any other COVID vaccine.  This one fact alone could lead to more unnecessary COVID deaths.",2020-08-01T23:56:42.000Z
15,1289711661235032067,"@runtsmapus @nytimes They own patents on all covid vaccine patents, it doesn't matter who make the virus, they still get rich.",2020-08-01T23:56:36.000Z
16,1289711605194698752,Because our children are to be guinea pigs for the covid-19 vaccine https://t.co/yNr7o0WOEp,2020-08-01T23:56:23.000Z
17,1289711430476996615,"Be scared about this!
💢🚨 Red Flags Soar As Big Pharma Will Be Exempt From COVID-19 Vaccine Liability Claims 🚨💢 

https://t.co/XYupBIu9jw",2020-08-01T23:55:41.000Z
18,1289711393382400000,"Ainda não temos confirmação mas já começou a corrida.

Indian Billionaires Bet Big on Head Start in Coronavirus Vaccine Race https://t.co/kTMzwHRiAg",2020-08-01T23:55:32.000Z
19,1289711286155010049,"@tessdaleo @angela561579 @TheDemCoalition @RonaldKlain From what we knew at the time it was like the flu but with no vaccine.

Did you know that on the CDC website when they report COVID data it also includes pneumonia, flu, and flu like symptoms? It says it right there with their data.

Now why would the CDC so that?",2020-08-01T23:55:06.000Z
20,1289711231885082626,https://t.co/jY0IQ4IXNc,2020-08-01T23:54:54.000Z
21,1289711221810241536,"@petvets37 @nytimes It's not Trump, it's Bill Gates Foundation and Dr. Fauci's team owning all the patent on covid vaccine studies.",2020-08-01T23:54:51.000Z
22,1289711101311979520,"As Moderna’s Covid-19 Vaccine Takes The Lead, Its Chief Medical Officer’s Recent Promotion of “Gene-Editing Vaccines” Comes to Light https://t.co/4UhY0altvE via @@TLAVagabond",2020-08-01T23:54:22.000Z
23,1289710938086453248,AstraZeneca reports good progress of Covid-19 vaccine in trials https://t.co/2QhT23befc via @Clinical Trials Arena,2020-08-01T23:53:43.000Z
24,1289710866951057409,All volunteers developed coronavirus immunity after Russian vaccine trials — RDIF https://t.co/j1RX5PePge,2020-08-01T23:53:27.000Z
25,1289710859137306630,"@Steve__Atlas @BMe0201 @beany_weeny @eugenegu In the past vaccines found to have problems tended to be used anyway, possibly in Africa.  

Caution in a high risk product is needed. It's a big gamble anyway, flu vaccines aren't that effective &amp; there's no cold or HIV vaccine, why expect this coronavirus to get working vaccine",2020-08-01T23:53:25.000Z
26,1289710855706169345,Public Health Expert Calls To Repair Distrust In A COVID-19 Vaccine : Coronavirus Live Updates : NPR https://t.co/RCbc3DPJYq,2020-08-01T23:53:24.000Z
27,1289710832016744448,"Panel Recommends Oxford COVID Vaccine Partner For Phase 2,3 Human Trial - NDTV https://t.co/cEpnQcxykI",2020-08-01T23:53:18.000Z
28,1289710795534659585,#CovidUK The world’s largest vaccine maker will mass produce an unproven COVID-19 vaccine candidate  https://t.co/PRLWiTS6Yu,2020-08-01T23:53:09.000Z
29,1289710783308247040,"@Frsd43933671 @DanielAndrewsMP There's the article you linked to. This is a projection if we didn't do anything to help prevent it. We are though, so hopefully with government and community help the impact won't be this bad. This is something we can work on, COVID has no vaccine.",2020-08-01T23:53:07.000Z
30,1289710675757916160,@hrandbiz I’d be willing to try the vaccine from either UK or US. But CAD? I don’t trust the Chinese military - and that’s who Trudeau has partnered up with: Casino Bio. #COVID19 https://t.co/e7KlcQbVqC,2020-08-01T23:52:41.000Z
31,1289710661040185344,"Red Flags Soar As Big #Pharma Will Be Exempt From #COVID19 #Vaccine #Liability Claims
#Virus #Health #Corona #Coronavirus | Zero Hedge https://t.co/DR5ub1FezP",2020-08-01T23:52:37.000Z
32,1289710530819588097,"Good morning friends. Today is the first Sunday of the month of August 2020, my prayer goes like this, God provide us vaccine for this covid-19.",2020-08-01T23:52:06.000Z
33,1289710517020368896,Because our children are to be guinea pigs for the covid-19 vaccine https://t.co/WnvX18hOdH,2020-08-01T23:52:03.000Z
34,1289710499639128064,"“Very few people can produce it at this cost, this scale and this speed”
https://t.co/vvatTXaYN0",2020-08-01T23:51:59.000Z
35,1289710351978598400,"Hmmm... I wonder, a media article indicates that Flinders University in South Australia has a promising Covid-19 Vaccine and the Government has ""knocked back"" funding for clinical trials?
WHY?
@ScottMorrisonMP 
@marshall_steven 
Please consider?
 https://t.co/HpS77XwreY",2020-08-01T23:51:24.000Z
36,1289710344039018496,First thing I’m doing after the Covid vaccine is throwing a huge orgy,2020-08-01T23:51:22.000Z
37,1289710318239862785,"We don’t know how close a coronavirus vaccine is, but where does the word come from? https://t.co/oQRFY0anKH",2020-08-01T23:51:16.000Z
38,1289710293505826816,"""The world’s largest vaccine maker will mass produce an unproven COVID-19 vaccine candidate""  https://t.co/czWD6tohJx",2020-08-01T23:51:10.000Z
39,1289710201843544064,What the frick is with @elliotfriedman and that beard? If that’s a COVID thing then stop...they’ll eventually find a vaccine. He is hard to look at,2020-08-01T23:50:48.000Z
40,1289710152212312065,@AnothermillennR I’m talking specifically about a Coronavirus vaccine.,2020-08-01T23:50:36.000Z
41,1289710130242531328,"I'm not religious by any means, but if Hell actually exists, these motherfuckers imposing all this fuckery have a one-way 1st class ticket. #hell #fuckery #coronavirus #Agenda21 #Agenda2030 #BillGates #vaccine #COVID19 #5G #lockdown #fake",2020-08-01T23:50:31.000Z
42,1289710105131286528,@Yahshua_Reigns @Rumrunner111 @SteveScalise @realDonaldTrump So what your saying is that no one has ever tried the vaccine for other Corona virus on covid 19? That would mean 99% doctors are idiots and want people to be sic.,2020-08-01T23:50:25.000Z
43,1289710088991588352,"A Covid-19 vaccine, amazingly, is close. Why am I so worried? - STAT https://t.co/doMq5OJ9ei",2020-08-01T23:50:21.000Z
44,1289709981588025344,"“Even the fact you’re doing this story is part of the game.""

On Australia's Covid conspiracy movement, by @mmcgowan  https://t.co/M8hw9G9M0H",2020-08-01T23:49:55.000Z
45,1289709945923858432,"As scientists and pharmaceutical companies work at breakneck speed to develop a vaccine for the novel coronavirus, public health officials and senior U.S. lawmakers are sounding alarms about the Trump administration's lack of planning for its nationwide distribution.",2020-08-01T23:49:47.000Z
46,1289709943587627008,"Trump planning for U.S. rollout of coronavirus vaccine falling short, officials warn . Right now, it is unclear who in Washington is in charge of oversight, much less any critical details, some state health officials and members of Congress told Reuters. https://t.co/gR3YwuX1Hr",2020-08-01T23:49:46.000Z
47,1289709922859413506,via ⁦@nytimes⁩  https://t.co/hyTTyDt1eg,2020-08-01T23:49:41.000Z
