,id,text,created_at,withheld
0,1333923833129041920,"Health care workers and nursing home residents should be at the front of the line when the first coronavirus vaccine shots become available, an influential government advisory panel said Tuesday. - AP",2020-12-01T23:59:59.000Z,
1,1333923806570708992,@BillieJeanKing What if the powers that be made HIV the same priority as COVID. I don't think the the fact that after 40 year we still don't have an HIV vaccine is due to a lack of ability--it's a lack of priority.,2020-12-01T23:59:53.000Z,
2,1333923787004317696,"The Daily Beast: Biden's COVID Team Sounds the Alarm Over Trump's Vaccine Distribution Plan.
https://t.co/RQFT5txas7

via @GoogleNews",2020-12-01T23:59:48.000Z,
3,1333923786530308099,Biden’s COVID Task Force Member Sounds the Alarm Over Trump’s Vaccine Distribution Plan https://t.co/C4K6xSR5O4 via @thedailybeast,2020-12-01T23:59:48.000Z,
4,1333923780716990464,A company in America is pushing for an urgent clearance to put a Covid 19 vaccine to test.Something fishy with all this but hey who am I to say so....@Tozovepi,2020-12-01T23:59:47.000Z,
5,1333923778716438529,"Modi warns of possible side-effects Indian Prime Minister Narendra Modi warned on Tuesday that any COVID-19 vaccine could lead to side-effects in some people, as even popular medicines do,government would only go by science in finalising 1 for the country. https://t.co/U4c3GntkCn",2020-12-01T23:59:46.000Z,
6,1333923753412206599,Nearly 40% of healthcare workers are 'not likely' to get Covid vaccine https://t.co/xxTB2Ezca6 via @MailOnline,2020-12-01T23:59:40.000Z,
7,1333923745711460353,CDC vaccine advisers vote to recommend that health care staff and long term care facility residents get Covid-19 vaccine first – CNN https://t.co/vquG6AqUTq,2020-12-01T23:59:38.000Z,
8,1333923724332912642,Trump's chief science advisor said Americans have a 'social responsibility' to get vaccinated against the coronavirus https://t.co/dSqGLGdrdH #SmartNews,2020-12-01T23:59:33.000Z,
9,1333923716103860224,"COVID-19 vaccine tracker: A guide for Canadians

Canadians have watched with awe how the global scientific community came together with unprecedented speed to create, it would appear, multiple COVID-19 vaccines we hope will begin the end of this pandemic… https://t.co/GGor9KKZ96",2020-12-01T23:59:31.000Z,
10,1333923697976111104,CDC panel votes today on who should be first in line for COVID-19 vaccine https://t.co/pClhYbO9kg via @YouTube,2020-12-01T23:59:27.000Z,
11,1333923688962527233,"#NYT Health: ""Long-Term-Care Residents and Health Workers Should Get Vaccine First, C.D.C. Panel Says"" by BY ABBY GOODNOUGH https://t.co/bI7exL5CeX https://t.co/wTYytlXJuY",2020-12-01T23:59:25.000Z,
12,1333923681689591814,"Trump's very much anti-lockdown Coronavirus advisor has resigned - I'm guessing because he couldn't make any progress with the vaccine-obsessed president who, FWIW, totally bought into the Imperial College ""2.2 million Americans will die"" baloney.

That really sucks. https://t.co/ctSKZTsXxs",2020-12-01T23:59:23.000Z,
13,1333923677411414017,https://t.co/yIb4CcU0qE,2020-12-01T23:59:22.000Z,
14,1333923661645012993,"""Long-Term-Care Residents and Health Workers Should Get Vaccine First, C.D.C. Panel Says"" via NYT https://t.co/8p6OSAiWbX #healthnews #dentistry #newyorktimes",2020-12-01T23:59:18.000Z,
15,1333923651792613376,"Tory MPs claim vaccine passports would amount to 'discrimination’

#freedom #discrimination 

https://t.co/NicyGI9iU4",2020-12-01T23:59:16.000Z,
16,1333923628543569922,@Duncan_G13 How me and the boys finna be when the covid vaccine hits,2020-12-01T23:59:10.000Z,
17,1333923626974932993,"https://t.co/17M4UvMdMS
""Long term care facility residents are defined as adults who reside in facilities that provide a variety of services, including medical and personal care, to persons who are unable to live independently,"" the CDC said.",2020-12-01T23:59:10.000Z,
18,1333923558553051138,"@mrsrisreading @Ovoqueenn @rddysum Yeah. I hope we have a safe vaccine out soon. My son, the one I wrote about, has Autism and he has really been struggling this year bc of Covid and all the changes. It took months to get him used to wearing a mask.",2020-12-01T23:58:54.000Z,
19,1333923520758345733,"Health Care Workers, Nursing Home Residents To Be Prioritized For COVID-19 Vaccine https://t.co/kNfRwXTuCk",2020-12-01T23:58:45.000Z,
20,1333923505818185731,"CDC vaccine advisers vote to recommend that health care staff and long term care facility residents get Covid-19 vaccine first
https://t.co/H0tTBBjicb in the GOP",2020-12-01T23:58:41.000Z,
21,1333923502173396992,I'm all for a covid-19 vaccine but where are the facts what are the side effects? How long is the vaccine good for? Who should and shouldn't get the vaccine? And has the trial been long enough to see the true outcomes?,2020-12-01T23:58:40.000Z,
22,1333923495978409989,"Most state and local jurisdictions expect to be able to vaccinate their healthcare workers within three weeks of receiving the first dose of a #COVID-19 vaccine, says an official from the #US Centers for Disease Control and Prevention.

https://t.co/UHRvtMTrDx",2020-12-01T23:58:39.000Z,
23,1333923491872190465,@vickyyyf @drmwarner You are promoting Genocide with your covid 0 policies and your experimental vaccine agenda. You will be remember for who you truly are .,2020-12-01T23:58:38.000Z,
24,1333923444300394501,"This is how airlines are preparing to transport vaccine
CNN's Pete Muntean got to take a look at how airlines are preparing to transport the coronavirus vaccine at below freezing temperatures.
December 02, 2020 at 03:35AM https://t.co/j5i3a5Sa8v",2020-12-01T23:58:26.000Z,
