,id,text,created_at
0,1466195393998467072,@DictionaryGo @freep Not celebrating but finding the irony in this. I got Covid before there was a vaccine and came very close to death. He made it out to be nothing big. I didn’t wish him death but I am not going to have much empathy for him either.,2021-12-01T23:59:57.000Z
1,1466195390735151106,"@kenklippenstein @nycsouthpaw ""Despite the fact that Covid-19 is the leading cause of on-the-job deaths among CBP officials...the National Border Patrol Council...vowed to fight the vaccine mandate..."" https://t.co/5qDRGS0Jkk",2021-12-01T23:59:56.000Z
2,1466195346850463744,They should run on this. Republicans: Let People Die of COVID or So Help Us We’ll Shut Down the Government https://t.co/WjUOZbf3dw #SmartNews,2021-12-01T23:59:45.000Z
3,1466195346648875009,"Another one down the tubes👍👍👍👍
https://t.co/CYxwVTdrKp",2021-12-01T23:59:45.000Z
4,1466195341125029899,"@druidian @mike_of_oz @Breedlove22 So, why Trump and Bolsonaro (Brazil´s President) were against science all the time? First, they neglected covid. Second, they neglected vaccine. Third, they neglected masks against covid. Fourth, they advocate for two medicines with no scientific proof (cloroquine &amp; ivermectin)",2021-12-01T23:59:44.000Z
5,1466195340500025348,"About 15% of Illinois residents have gotten COVID-19 booster shot, as Omicron enters U.S. and Illinois faces surge https://t.co/LAFcBWO8Dt",2021-12-01T23:59:44.000Z
6,1466195328223350787,Some things never change.  In early 2020 we were told that despite decades of trying there had never been success in creating an effective vaccine for a coronavirus. Now as 2021 is ending there has still be no success in developing an effective vaccine for a coronavirus,2021-12-01T23:59:41.000Z
7,1466195319243350023,"@LHorowitz4 @laralogan More of the same. The Left started rewriting the dictionary 20 years ago. “Vaccine” is just the latest word. We do not have any actual covid vaccines yet. A true vaccine provides a lifetime of 99.99% certainty that you will not contract the illness, I.e. polio, smallpox etc.",2021-12-01T23:59:39.000Z
8,1466195296925356032,Bristol Myers is sued for refusing COVID-19 vaccine religious exemptions https://t.co/u2tm1WMZM2 https://t.co/FpUcfgsZHt,2021-12-01T23:59:34.000Z
9,1466195291829198864,Appeals court rules against Moderna in COVID-19 vaccine patent challenges | TheHill - The Hill https://t.co/eO1oArzUsq,2021-12-01T23:59:32.000Z
10,1466195286892679175,"@RichRedVoices @CFKSherry @StatisticsBC @ReutersFacts We’re addressing the issue of teens, especially boys getting myocarditis after receiving a covid vaccine, what has that got to do with anything? Statistically teens have the lowest covid fatality and hospitalisation rates.",2021-12-01T23:59:31.000Z
11,1466195280714506240,"@RT_com Yet no one is reporting adverse reactions
https://t.co/DIIqEBo3RS",2021-12-01T23:59:30.000Z
12,1466195271365189633,@PaulMitchell_AB @TheoFleury14 You mean immunity from infection. A vaccine triggers the bodies NATURAL immune response. So you don’t need to attend Covid parties like a brain dead imbecile.,2021-12-01T23:59:27.000Z
13,1466195255859027971,@Xelactually__ @JolieBelle_ @chopcheeese @C_will91 @Lj_Foster Tell me you don’t know anything about vaccines you grew up with compared to the new Covid 19 vaccine to make it easier for yourself,2021-12-01T23:59:24.000Z
14,1466195251777785858,"#OmicronVarient #Covid FoR mY VaCcInE tO wOrK i NeEd YoU tO bE vAcCiNaTeD. 🤡🤡🤡 I have no problems with vaccines, it's the people and the methods used to push this one that I have a problem with... our health is not a political game you f'ing morons.",2021-12-01T23:59:23.000Z
15,1466195222669324289,@BCPOGO75 @rambo_vanhorne @keithbaldrey https://t.co/fca6QiaILt,2021-12-01T23:59:16.000Z
16,1466195220090044420,"@NigeriaChet @TheCmone27 @GregorMcConor3 @MMAjunkie No it's not. Any one can look this up. Monoclonal antibodies have been especially used against Covid and some people opt for that instead of the vaccine.

If you honestly think the vaccine is the only way to treat covid, you're delusional",2021-12-01T23:59:15.000Z
17,1466195201681018882,Anti-vaccine TV preacher dies of Covid https://t.co/ifmAnev2ez #uncategorized #feedly,2021-12-01T23:59:11.000Z
18,1466195193837899776,"JUST THREE WEEKS?
Britain buys FOURTH and FIFTH rounds of booster jabs: Ministers order 114m extra vaccine doses - enough to keep country supplied for two MORE winters  https://t.co/EFRVJDRwAn",2021-12-01T23:59:09.000Z
19,1466195190515830787,We've posted #COVID19 updates and local vaccine/testing links on our website at https://t.co/1zvuNPwRLc https://t.co/QkHpv1I3pn,2021-12-01T23:59:08.000Z
