,id,text,created_at,withheld
0,1345157845763952646,@cowboythoughtss tell him the covid vaccine turned you gay,2021-01-01T23:59:56.000Z,
1,1345157807348318208,@NigilHaroon @CRASCRRheum @MakeRheum @spondylitis @SPONDYLITISCA @SchroederInst @ArthritisSoc @ArthritisNetwrk @CAPA_Arthritis @LupusResearch @LADAOrg @CMA_Docs @SPARTAN_Updates Thank you so much for your reply. Makes sense. I read an ONA document that said the vaccine wasn't recommended for people with autoimmune diseases. It didn't make sense to me as I imagine they are high risk if they get covid. Thank you for clarifying.,2021-01-01T23:59:47.000Z,
2,1345157766655188992,"@MaxCRoser Please don't praise Israel more than you have to. Israel is deliberately not vaccinating Palestinians in the Occupied Territories. The Israeli State manifests hatred to fellow humans in so many different ways. Sadly.

https://t.co/OzvJLJnS6d",2021-01-01T23:59:38.000Z,
3,1345157762158915585,@BpsmithUk @sianjames1 We knew about this back in May. No journalist has thought to ask why we were supposed to have 30 million doses in storage but only 1/2 million available https://t.co/Go6otdU99l,2021-01-01T23:59:36.000Z,
4,1345157756878278657,WHO still dey exist? #EndSars #SoroSoke https://t.co/xqFdEieUrY,2021-01-01T23:59:35.000Z,
5,1345157725383057408,@peacefmonline From where?  I heard during the early stages of the Covid 19 that Ghana is producing their own vaccine.  What happened to that? Ghanaians should embark on strike.  They should not take any vaccine from any foreign country. The leaders should the right thing. No foreign vaccine.,2021-01-01T23:59:28.000Z,
6,1345157713383198720,A Hospital Employee Was Arrested For Intentionally Spoiling More Than 500 Doses Of The COVID-19 Vaccine   https://t.co/llNOwWil2X,2021-01-01T23:59:25.000Z,
7,1345157705279934466,"@LittleEmmaKeen @DutchNewchurch And the covid vaccine because we'd left , even though it's our first day out and we've possibly run out already !",2021-01-01T23:59:23.000Z,
8,1345157703727890433,Romney floats sweeping vaccine plan as U.S. nears 20 million COVID-19 cases https://t.co/ULqtoEpiCP,2021-01-01T23:59:23.000Z,
9,1345157691056918529,World faces Covid-19 “vaccine apartheid” https://t.co/TImdgz0t1O,2021-01-01T23:59:20.000Z,
10,1345157683175972872,Covid-19 vaccine: Dry run today to test systems – india news https://t.co/MQFWLYk8FH,2021-01-01T23:59:18.000Z,
11,1345157680135098377,"(1/4) The Wisconsin hospital worker #accused of intentionally removing 57 vials of a #COVID-19 vaccine from a pharmacy refrigerator has been #arrested, local police announced Thursday. https://t.co/5lFZt7IUh0",2021-01-01T23:59:17.000Z,
12,1345157670639120384,@grace2abide @TheSolariReport Australia ends COVID-19 vaccine trials due to HIV antibody positives (https://t.co/2Exvxm6djf),2021-01-01T23:59:15.000Z,
13,1345157666033856512,Some healthcare workers are refusing to take COVID-19 vaccine  https://t.co/mmTKSZHxsM,2021-01-01T23:59:14.000Z,
14,1345157637588049921,"More people say they would definitely or probably get COVID Vaccine. 63% in Sept --&gt; 71% Dec. 

Still, 27% of the public said they definitely or probably would not get the vaccine, even if free &amp; deemed safe by scientists",2021-01-01T23:59:07.000Z,
15,1345157635235065856,"Fantastic article by @KFF describing reasons for vaccine hesitancy. 

#CovidVaccine 
@UTSWHospitalMed @dallasnews 

https://t.co/Rw1hkYMVJr https://t.co/Vi6IAV3EiT",2021-01-01T23:59:06.000Z,
16,1345157614431326208,@EricTopol @CNN @elizcohencnn 99.95% of the placebo group did not get a severe case of covid. The vaccine effectiveness is unknown.,2021-01-01T23:59:01.000Z,
17,1345157608047579136,"Forty-four people received an antibody treatment instead of Moderna's coronavirus vaccine in an error Wednesday at a vaccination clinic in Boone County, https://t.co/EKAWlXEjOd.
https://t.co/dyapqU9Vcp",2021-01-01T23:59:00.000Z,
18,1345157598350344196,"@DrNecmettinUnal Oxford AstraZeneca 
 ACIL DURUM TEDARIKI ICIN ONAYLANDI. 
https://t.co/l66JSegddc",2021-01-01T23:58:57.000Z,
19,1345157591400407043,"""William A. Haseltine 06/2020: (...) Abgesehen von Sicherheitsfragen, die bei einem Impfstoff auftreten, gibt es gute Gründe, bei COVID-19 besonders vorsichtig zu sein. Einige Impfstoffe verschlimmern die Folgen einer Infektion, anstatt sie zu schützen."" 
https://t.co/88S0xo3MqG",2021-01-01T23:58:56.000Z,
20,1345157589529554950,"@Duckypam @LAPDHQ One of our Doctors was excited for the vaccine, it came too late. He caught covid at work and died a couple days ago. Heartbroken.",2021-01-01T23:58:55.000Z,
21,1345157586857943040,"@MsKitty07304531 @snasta @CollierForTexas 1.17% of Texans have been vaccinated as compared to .75% Nevadans. 

https://t.co/MBw0sUSHNB",2021-01-01T23:58:55.000Z,
22,1345157554880569344,@WVUGCMINER @mil_ops Drive thru? Why was that medication there and not just the Covid vaccine?,2021-01-01T23:58:47.000Z,
23,1345157548937269248,"#China was ahead in the global race to develop #coronavirus vaccines with the most candidates in the late stage of trials earlier in the year.

Here's What we know about China's vaccine development, efficacy data, timelines:

https://t.co/Fx9GOUEZ4A",2021-01-01T23:58:46.000Z,
24,1345157523179974656,@Josiensor @Jake_Hanrahan Looks like the PA doesn't want Israel's help anyway: https://t.co/If8YRYIscu,2021-01-01T23:58:40.000Z,
25,1345157481140543489,"@NightShiftMD  Hi, interested in obtaining the Covid-19 vaccine. I know I'm not first in line, but how do find the line and join the q in Ontario? Thanks.",2021-01-01T23:58:29.000Z,
26,1345157470080143361,"Senator #MittRomney called for action after it emerged that 2.8million #Americans had received their 1st #vaccine dose, short of the 20 million the #TrumpAdministration promised. Comprehensive #vaccination plans have not been developed at the federal level https://t.co/FZIPPKXZ89",2021-01-01T23:58:27.000Z,
27,1345157461838184449,Ojo con Sputnik.. 20 personas agarraron covid después de tener la primera dosis.. https://t.co/FWeTsPfqDo,2021-01-01T23:58:25.000Z,
28,1345157452191436801,Will County Health Department reports more than 300 new COVID cases https://t.co/ycUQOje8xN,2021-01-01T23:58:23.000Z,
29,1345157445740449798,"@Therat4623 @SciencePharmer Exactly and then there are those who are refusing the vaccine and its going to waste due to storage requirements...and worse, many travelling and filling up those wards and endangering every person who works on a covid ward...",2021-01-01T23:58:21.000Z,
30,1345157413519953931,The reality is that @pfizer is charging far too high a price for its vaccine and if @BioNTech_Group openly shared its IP more could be made https://t.co/rFFPlefvJ6,2021-01-01T23:58:13.000Z,
31,1345157391227080704,State announces three new COVID-19 deaths in Marion County https://t.co/7Vdhj5rBd8,2021-01-01T23:58:08.000Z,
32,1345157369555283969,"Column: Unsurprisingly, Trump’s rollout of the COVID vaccine is an utter fiasco via /r/politics https://t.co/vDUVAHvLsk",2021-01-01T23:58:03.000Z,
33,1345157330602766339,"Looking at the footage it's the kind of dreadlock wearing french freetek crowd who probably doesn't believe in Covid anyway, and would never take something unnatural as the vaccine (but would snort any chemical drug from a toilet seat at any point of the night)",2021-01-01T23:57:54.000Z,
34,1345157324709777408,"With the #vaccine not providing immediate #immunity to the #coronavirus, over two hundred Israeli citizens have been diagnosed with the #COVID19 disease days after getting the @pfizer/#BioNTech jabs, local media reported. https://t.co/OZOR25ZR3e https://t.co/k5A5OZrfNH",2021-01-01T23:57:52.000Z,
35,1345157299539595265,"Pregnant women agonize over whether to get coronavirus vaccine
By Frances Stead Sellers

https://t.co/5geSs49F1g",2021-01-01T23:57:46.000Z,
36,1345157294133276675,"Why didn't Trump think of this?

Romney floats sweeping vaccine plan as U.S. nears 20 million COVID-19 cases https://t.co/eVpb29nHue via @YahooNews",2021-01-01T23:57:45.000Z,
37,1345157287674081280,Israel Stuns Observers With Lightning-Fast COVID-19 Vaccine Rollout https://t.co/jSmE2HFRvN,2021-01-01T23:57:43.000Z,
38,1345157258469105665,Hundreds of Israelis get infected with Covid-19 after receiving Pfizer/BioNTech vaccine – reports — RT World News https://t.co/pNF2WembQ3,2021-01-01T23:57:36.000Z,
39,1345157251166859265,@realDonaldTrump @FoxNews @OANN I guess you haven't noticed.  20M COVID cases.  346k deaths.   Vaccine distribution not going so well.  Maybe you can focus on that.  #TrumpFailedAmerica,2021-01-01T23:57:35.000Z,
40,1345157249677758464,@Beetlepimp Beet!   You getting the Covid-19 vaccine brutha??,2021-01-01T23:57:34.000Z,
41,1345157237023657986,Day 3 of #covid_19 moderna vaccine. No issues. Minimal muscle pain yesterday in left deltoid. Otherwise perfect. https://t.co/uHOjIeZJza,2021-01-01T23:57:31.000Z,
