,id,text,created_at
0,1267606590682587136,"@Drmuzoic @NCDCgov Its been said that Covid will be with us till end of year or possible for up to 2years till a vaccine is discovered. So we just have to find a way to live with it. 

Though i also feel that social and religious gatherings can be suspended for now.",2020-06-01T23:58:56.000Z
1,1267606575004278784,"Great outcome for our @UQ_News COVID-19 #vaccine securing additional $2M MRFF funding @ChappellDr @ProfPaulYoung @UQ_SCMB @AIBNatUQ Also great to see the continued investment @GregHuntMP!!
$66 million for coronavirus-related research https://t.co/B7gOBtob7d",2020-06-01T23:58:53.000Z
2,1267606238495309824,@anpanboos And invent the vaccine for covid,2020-06-01T23:57:32.000Z
3,1267606197168996352,"@Rene_Bogoshi @DineoDeeMash2 Now we know long it takes to develop a vaccine, all of the hopefuls that are hoping for a covid vaccine are going to be distraught. Covid is here to stay for atleast another year maybe end of next week year we will see something",2020-06-01T23:57:23.000Z
4,1267606053560221699,In this interview he is very specific about the importance of building ASAP all factories for mass production of the mRNA vaccines for a virus that might disappear just like the others before. Operation “warp speed” rings any bells to you ?! https://t.co/jQpdLUdqGn,2020-06-01T23:56:48.000Z
5,1267605956533325824,https://t.co/kreuPRbpIk,2020-06-01T23:56:25.000Z
6,1267605460833628161,Coronavirus: Testing on kids is a nervous next step on way to Covid-19 vaccine https://t.co/x6cmMilEMq via @timesofindia,2020-06-01T23:54:27.000Z
7,1267605360447303681,"[ #Reuters ] Wildlife groups up pressure on Big Pharma to curb crab blood addiction . tests, including those needed before a #Covid19 vaccine can be used for humans . https://t.co/YHM0HrLnnT",2020-06-01T23:54:03.000Z
8,1267605230566477824,@NPRinskeep I’m taking my COVID vaccine right now!,2020-06-01T23:53:32.000Z
9,1267605004023738369,Operation Warp Speed selects billionaire scientist’s COVID-19 vaccine for monkey tests https://t.co/biTiwKFBUx,2020-06-01T23:52:38.000Z
10,1267604987787522048,Who is the New Leader of Operation Warp Speed? https://t.co/9iQJU4isvB https://t.co/VeklvplHvc,2020-06-01T23:52:34.000Z
11,1267604853917769728,Moderna gives 1st patients coronavirus vaccine trial https://t.co/paRY0V5EcC https://t.co/DQ2GZPBeEX,2020-06-01T23:52:02.000Z
12,1267604842941313024,Pumasok lang sila sa work and then pag-uwi positive na sa COVID?! 😔 Too scary kasi di mo alam if it will be your last or not. Hays! Vaccine where are you 😔😔...,2020-06-01T23:52:00.000Z
13,1267604726218022914,Scientists hunt pandemic hotspots in race to test vaccines https://t.co/2plNyVgtu6 https://t.co/uR7fBSmwUg,2020-06-01T23:51:32.000Z
14,1267604646660464641,@jonmccomb980 Russia is almost ready to trial their vaccine for Covid and I feel the same way about it.,2020-06-01T23:51:13.000Z
15,1267604565127581696,"🔴LIVE: Coronavirus India News LIVE: Lockdown 5.0 Updates, Coronavirus Vaccine, COVID-19 Cases India
Read More: https://t.co/xGIym9LvI0 https://t.co/nYEAvulwJ0",2020-06-01T23:50:53.000Z
16,1267604426392580097,Moderna's coronavirus vaccine announcement set off a frenzy on Wall Street. Now some are calling for an investigation https://t.co/0nA2droYDC,2020-06-01T23:50:20.000Z
17,1267604354825142273,"Emergent BioSolutions, BARDA reach $628M deal to manufacture COVID-19 vaccine hopefuls, 

The U.S. government has shelled out big money to help develop a possible COVID-19 vaccine and boost manufacturing of COVID-19 drugs... ,https://t.co/8To7aPsWgf",2020-06-01T23:50:03.000Z
18,1267604245676769286,https://t.co/aFLsvOJcWF,2020-06-01T23:49:37.000Z
19,1267604232171073537,"Major UK COVID-19 vaccine trial in jeopardy because the virus is ‘disappearing’ https://t.co/iks6YzIJFX 
   
#Coronavirus",2020-06-01T23:49:34.000Z
20,1267604204064919552,Does it matter Mr @GidMK if Covid-19 was created in a lab or if it transpired naturally? Does it make any difference vaccine/control wise?,2020-06-01T23:49:27.000Z
21,1267604191360368640,"Race for a Coronavirus Vaccine https://t.co/7Q3d3POQxR via @GENbio 
[@SerumInstIndia ] @SerumInstitute of India 🇮🇳 Explore Partnerships with @ISPEorg Purushottam Mistry Evergreen 🌲 Valley Zipcode 95148",2020-06-01T23:49:24.000Z
22,1267603744088154112,"@GaiaNYC You are so right, everyone has forgotten the seriousness of the coronavirus. 
Talk about a downhill slide of epic proportions, here we are

There is no vaccine yet!!!!",2020-06-01T23:47:38.000Z
23,1267603536004747265,"Emergent BioSolutions, BARDA reach $628M deal to manufacture COVID-19 vaccine hopefuls https://t.co/ryB3uDxtY3",2020-06-01T23:46:48.000Z
24,1267603388998586374,😂😂😂😂😂😂😂😂😂😂😂 Are technocrats in Uganda true scientists or just gamblers. The fellow who lied our president that the vaccine will be ready next month needs to be imprisoned. That guy is the real enemy of the country! Finally the coronavirus has been declared innocent!,2020-06-01T23:46:13.000Z
25,1267603351891439616,A partnership between the UK aid and Gavi the Vaccine Alliance is supporting Ghana to use Zipline drones to collect COVID-19 test... https://t.co/WR0NzZI7Tf,2020-06-01T23:46:04.000Z
26,1267603105140617216,"From @WSJopinion: There are ways to accelerate the production of a vaccine, but we can’t compromise on the rigorous testing needed to prove safety and efficacy, write @llborio and @ScottGottliebMD https://t.co/f0NMGY21nQ",2020-06-01T23:45:05.000Z
27,1267603081589637121,"From #SARS-CoV to #SARSCoV2:

Safety and broad-spectrum are important for coronavirus vaccine development

https://t.co/AVtZLreStw #coronavirus #COVID19 https://t.co/LocoAjo1A4",2020-06-01T23:45:00.000Z
28,1267602834435891200,@baabyyami That happens after Trump rushes a Covid vaccine in a few months,2020-06-01T23:44:01.000Z
29,1267602443514392577,"Protests continue to sweep the U.S. in the wake of George Floyd's death, but what else is bubbling below the surface? Plus, the race is on for a COVID-19 vaccine, but just how long will it take? 

@saramdo17 

https://t.co/C3KAup1bv1 https://t.co/1yoAC9IJW9",2020-06-01T23:42:28.000Z
30,1267602411658543109,D only person in D entire #World who claim that he prepared #medicine or #vaccine for #coronavirus. 100s of people treated by him but D Afghan government banned his clinic. People think that there is a political game behind #COVIDー19 &amp; that’s why D gov banned him. @ashrafghani https://t.co/72L8u5yAHY,2020-06-01T23:42:20.000Z
31,1267602397066657802,"VACCINE.     Monday 18 May.

Health Secretary Matt Hancock said the deal with AstraZeneca means that, if the Oxford vaccine works, there will be 100m doses for the UK.

#coronavirus disease 2019 (COVID-19) #COVID19 https://t.co/EQKnT7eY3T",2020-06-01T23:42:17.000Z
32,1267602396110192640,"It’s called COVID-19. No vaccine, no ventilators. You catch it and just die. Cuts health care costs tremendously, especially for the expensive end of life costs for those over 65.  100,000 and counting. https://t.co/YEzLjIKzVl",2020-06-01T23:42:16.000Z
