,id,text,created_at,withheld
0,1239340599356071938,"@MysterySolvent 🤮🤮🤮🤮🤮🤮@IvankaTrump It’s a given the Trump &amp; Kushner families are somehow making money off this crisis.    Your father is playing the Markets &amp; paying debts. Since you brought God into it, what you’re doing is not only corrupt, it’s sinful. This👇? https://t.co/UnwittJBBi",2020-03-15T23:59:59.000Z,
1,1239340586454462464,"Donald Trump tried to convince German scientists to make coronavirus vaccine ""only for the United States"": report https://t.co/pQN67MNzNh",2020-03-15T23:59:56.000Z,
2,1239340580200685568,JUST SAW SOMEONE SAY THAT WE ARE THE VIRUS AND CORONAVIRUS IS THE VACCINE 😭😭😭😭 BITCH TAKE ME OUT!!!!!!,2020-03-15T23:59:54.000Z,
3,1239340579714195456,Government official: Coronavirus vaccine trial starts Monday https://t.co/PcVXb8HU5f,2020-03-15T23:59:54.000Z,
4,1239340570574835712,"🚨#DEVELOPING A clinical trial evaluating a vaccine designed to protect against the new #coronavirus will begin Monday, according to #US government official.",2020-03-15T23:59:52.000Z,
5,1239340568796442626,Government official: Coronavirus vaccine trial starts Monday (from @AP) https://t.co/hSMdmeEjdl,2020-03-15T23:59:52.000Z,
6,1239340561078685696,"A clinical trial evaluating a vaccine designed to protect against the new coronavirus will begin Monday, according to a government official. https://t.co/895ihgYRpc",2020-03-15T23:59:50.000Z,
7,1239340550115000321,"#Covid_19 #NBAQuarantine Day 4
—
Social Distancing a societal split
NFL &amp; Player approve new CBA
CDC recommends no events 50+ people for 2 months
NBA targeting June return — with no fans
1st trial dose for COVID-19 vaccine to be tested Monday
Fed cuts interest rates to near-zero",2020-03-15T23:59:47.000Z,
8,1239340548961558531,Germany confirms that Trump tried to buy firm working on coronavirus vaccine – POLITICO https://t.co/DDeeUWG17X,2020-03-15T23:59:47.000Z,
9,1239340540627496961,"RT @JoeBiden: When we have a coronavirus vaccine ready to go, it should be made widely available, free of charge. Period.",2020-03-15T23:59:45.000Z,
10,1239340525511217157,"Is it true that US figured a vaccine to covid 19?.
#coronapocolypse",2020-03-15T23:59:41.000Z,
11,1239340512693321728,Evil in the world.  https://t.co/HR9ISbclpC,2020-03-15T23:59:38.000Z,
12,1239340508838793223,"https://t.co/VZKB9olr2d

The company denies it. However... https://t.co/XmFaFTrnSF",2020-03-15T23:59:37.000Z,
13,1239340502056648706,"@HelenBranswell Everything would be peachy if USA could stop to bully its way as always... #covid19
Trump 'offers large sums' for  exclusive access to coronavirus vaccine https://t.co/WKjyt2BWvR",2020-03-15T23:59:36.000Z,
14,1239340501070794755,"@victoryfanfares Seriously, and theres a chance the C-virus can have another strain or mutate like the flu has. Plus people somehow forget the flu has a vaccine but Covid doesn't. It's frustrating 😂",2020-03-15T23:59:35.000Z,
15,1239340493244207104,"You are a morally bankrupt criminal, and should be 𝗿𝗲𝗺𝗼𝘃𝗲𝗱  - if for nothing else, this new 𝗛𝗘𝗟𝗟: @AP @DanRather @gtconway3d @RichardEngel @HoggerJeff @GeorgeTakei @WHO @kurteichenwald @NBCNews @JudicialWatch @NewsHour @UN @CBS @realDonaldTrump
https://t.co/hEykHnAuiT",2020-03-15T23:59:34.000Z,
16,1239340482779648000,Germany confirms that Trump tried to buy firm working on coronavirus vaccine https://t.co/Nqv9UiPPcx,2020-03-15T23:59:31.000Z,
