,id,text,created_at
0,1256372692074336263,"@EconguyRosie It recouped the ‘99 ‘00 avg around ‘02 ‘03? Right around when we realized terrorists didn’t have another 9/11 coming (london subway bombing proved they were small time going forward)
So let me know when we have a vaccine or when we know covid won’t be as bad...",2020-05-01T23:59:26.000Z
1,1256372659564294144,"@SteveBrownBC There's a vaccine for flus and none for COVID19 yet, dummy. And deaths in other jurisdictions are far exceeding the flu. https://t.co/ufL0sOvhzk #COVIDIOT",2020-05-01T23:59:18.000Z
2,1256372637632249862,"The little detail that proponents of ‘natural’ herd immunity downplay: Try to reach it without a vaccine, and millions will die, by @CT_Bergstrom @nataliexdean @NYTopinion #COVID19  https://t.co/8xMju6pchs",2020-05-01T23:59:13.000Z
3,1256372609815588866,Landmark partnership announced for development of COVID-19 vaccine | University of Oxford https://t.co/XekRbiaTYi,2020-05-01T23:59:07.000Z
4,1256372504001753090,"Tears of joy role down from the people of Taxas today for the success of the Vaccine which has just been discovered.
https://t.co/5Ywrclhtzg #Covid_19 #covid_19vaccine #Texas #twittervskpop #FlagsOutForFlynn #KohLanta #Moussa #Teheiura #Disney #propagandalive #BreakingDawn https://t.co/GfGXvrLKJ1",2020-05-01T23:58:41.000Z
5,1256372427363319811,"@RTELateLateShow @LeoVaradkar So just a question on this then , will the government stock pile on PPE for a covit 21 or 22. Covid 19 is because it discovered in 2019, what about the future?. The flu jab unless I am incorrect is  not vaccine towards this present virus.",2020-05-01T23:58:23.000Z
6,1256372427107393536,"Today @ucdavis rolled out a preclinical trial for a possible #COVID__19 vaccine. It will be delivered through the small patch you see below. 

Tonight on @SpecNews1SoCal I’ll also tell you about another test and why doctors are asking for recovered #Covid19 patients to help out. https://t.co/uBMpdIQqnl",2020-05-01T23:58:23.000Z
7,1256372418664230914,"Is COVID-19 a vaccine for Cancer?

#auspol #equity #ClimateChange 

https://t.co/uQiSDcd0tj",2020-05-01T23:58:21.000Z
8,1256372410149822464,"@sm313223 @pjm_tesla_369 @VibeBella955 @CHIZMAGA You seem to be confused, if you don't have one of the comorbidities, such as obesity, that increase your risk of becoming critically ill, odds are high you will not be dying alone before there is a vaccine... #JustSaying

Stay Focused.

https://t.co/KkehAcGHUS",2020-05-01T23:58:19.000Z
9,1256372384862519297,"Point of a lockdown
1) slow virus’s spread✅
2) stop hospitals from getting overwhelmed✅
3) prepare large test-and-trace program, mass produce PPE, and otherwise prepare to live with COVID until there’s a vaccine❌
Government didn’t really do 3. Raises risk of needing 1&amp;2 again.",2020-05-01T23:58:13.000Z
10,1256372371222454272,https://t.co/0UMBxr8mQE,2020-05-01T23:58:10.000Z
11,1256372365065285633,A very reasonable friend just said to me that she wouldn’t take a COVID-19 vaccine if there was one and now I am feeling very unsettled going into what should be a relaxing night,2020-05-01T23:58:08.000Z
12,1256372351031226370,"And that's the reason why scientists are working on multiple vaccine candidates.
#coronavirus #Covid_19 #COVID #vaccine",2020-05-01T23:58:05.000Z
13,1256372349202567169,"But if vaccine is developed it's effectivity would be questioned for sure and if virus is mutating person to person and it has some effects then making universal vaccine would be more tough? 
#coronavirus #vaccine #WHO",2020-05-01T23:58:04.000Z
14,1256372239156510721,We need not to take the coronavirus lightly and to be responsible and serious about preventing a second wave of infections by taking the necessary precautions of social distancing and others until a vaccine is found.We are all affected but we need to be patient and persistent.4/4,2020-05-01T23:57:38.000Z
15,1256372231925567488,"In the absence of a vaccine for Covid-19, we must continue to take serious precautions in terms of social distancing, hygiene practices and complete or partial lockdown because this is the only way to slow down the coronavirus from spreading to our populations. 1/4",2020-05-01T23:57:37.000Z
16,1256372211402731520,COVID-19 Vaccine Outlook (Podcast) https://t.co/Sipdhrw07j,2020-05-01T23:57:32.000Z
17,1256372209636921345,https://t.co/0hUXCihpuh @BlacknessIn,2020-05-01T23:57:31.000Z
18,1256372193933418496,I hope and pray na magtagumpay ang siyensya na magawa agad ang vaccine sa Covid-19 as soonest as possible.,2020-05-01T23:57:27.000Z
19,1256372121523150848,"At BEE International, we’re committed to doing our part to equip scientists with the tools they need to combat COVID-19 and develop a coronavirus vaccine. 
https://t.co/57idaloSVP",2020-05-01T23:57:10.000Z
20,1256372099993780224,The COVID vaccine: Will they force it on us? https://t.co/V17SacJa7F,2020-05-01T23:57:05.000Z
21,1256372051239149569,Opinion | Could ‘Innate Immunology’ Save Us From the Coronavirus? - The New York Times https://t.co/IzONcZyTsY,2020-05-01T23:56:53.000Z
22,1256372011493818371,WHAT DOES BILL GATES HAVE TO DO WITH A CORONAVIRUS VACCINE? Dr. Andrew K... https://t.co/ZRjQf9c7H2 via @YouTube,2020-05-01T23:56:44.000Z
23,1256372003444887552,@maddow Hard to stop this COVID-19 YET. We are waiting for VACCINE yet. https://t.co/9qyOvUYP9A,2020-05-01T23:56:42.000Z
24,1256371995060690945,Anti-vaxxers will fight the eventual coronavirus vaccine. Here’s how to stop them. https://t.co/AYIA50jIoF,2020-05-01T23:56:40.000Z
25,1256371934499045386,https://t.co/xghODs3drU,2020-05-01T23:56:26.000Z
26,1256371876613500929,Did Sidely's Obamacare Vaccine Give Us CanSino Covid-19? with Special Guest David Hawkins  https://t.co/RxQbFnv8M2 via @YouTube,2020-05-01T23:56:12.000Z
27,1256371839665942529,@richsignorelli @SpiroAgnewGhost @realDonaldTrump @gtconway3d @DudleyCorgi TRUMP HAVE A VACCINE FOR THE COVID 19 SINCE SEPTEMBER 2019,2020-05-01T23:56:03.000Z
28,1256371824599773184,"@godfatherJK5 Either they already have a vaccine for COVID-19 or they are not transparent with the health status of their workers...Lose Lose scenario for us, our supposed to be friend is either hiding a cure or risking all of us to be infected.",2020-05-01T23:55:59.000Z
29,1256371754282467329,"This is likely the stark reality with the sugar coating removed. The ‘new normal’ will not be the old normal and last until we have an effective vaccine if not longer.
#coronavirus #COVID19 https://t.co/2U27Cn2epb",2020-05-01T23:55:43.000Z
30,1256371743641534464,COVID-19 vaccine may take at least 9 months: Bill Gates https://t.co/h3gjIhdj9j https://t.co/ghS14wU4KH,2020-05-01T23:55:40.000Z
