,id,text,created_at,withheld
0,1323052164063907843,"@markknoller https://t.co/qZhrzyuPma
The Trump Administration Shut a Vaccine Safety Office Last ...",2020-11-01T23:59:51.000Z,
1,1323052156623224832,@MonkeymanKeitho @Care2much18 Antibodies lasting up to 7 months currently in those who survived the severest form of Covid . Immunity with vaccines are predicted to be yearly like flu vaccines or  maybe two years. Without a vaccine herd immunity not looking likely . No T Cell immunity given from other corona,2020-11-01T23:59:49.000Z,
2,1323052065157910528,Sign and send the petition: Demand Congress stop unproven vaccines before the election - https://t.co/iW69UTu37o via @shareaholic,2020-11-01T23:59:28.000Z,
3,1323052047646756864,"@dedsecluke @Simonr501 @jayar1947 @christopherhope @lewis_goodall @Nigel_Farage @TiceRichard But its evidently not the only option, even if you don't think we'll get a vaccine (most scientists think we will early next year) then treatments are still improving all the time

Buying time is a perfectly valid strategy, learning to live with covid is an admission of failure",2020-11-01T23:59:23.000Z,
4,1323052035411947521,"@sat1 Corona Alert:  broad virtual/online clinical study shows that those who had the flu vaccine did not develop serious Covid-19
https://t.co/Cy3A0AhxGp",2020-11-01T23:59:21.000Z,
5,1323051966789046277,"@SenatorEnzi Corona Alert:  broad virtual/online clinical study shows that those who had the flu vaccine did not develop serious Covid-19
https://t.co/Cy3A0AhxGp",2020-11-01T23:59:04.000Z,
6,1323051955892166656,I’m curious to know how many of you will vaccinate against COVID-19 when a vaccine/s will be approved.,2020-11-01T23:59:02.000Z,
7,1323051906047070208,"Today, the CMS released a comprehensive plan that will ensure that all Americans won’t have to pay for the COVID-19 vaccine once it’s released. - https://t.co/hXpWvKpK7X",2020-11-01T23:58:50.000Z,
8,1323051822529933312,"@dpradhanbjp 
HPCL is planning on 04/11/20 to buy back shares to increase their share value

Instead Oil Companies IOC/HPC/ONGC/GAIL should use their funds to give Bonus &amp; Dividends to Government to help fight Covid-19 &amp; to provide free Vaccine  to all to boost Economy",2020-11-01T23:58:30.000Z,
9,1323051817954148354,"@SteveDaines Corona Alert:  broad virtual/online clinical study shows that those who had the flu vaccine did not develop serious Covid-19
https://t.co/Cy3A0AhxGp",2020-11-01T23:58:29.000Z,
10,1323051696780681216,"@NBCNews Bunch of punk asses, everything Fauci said so far has happened!! Their boss on the other hand has lied because nothing he says would happen has! Cases didnt drop, Covid didnt end, a vaccine coming in two weeks he said for last 4 months is not yet ready. I trust the professional",2020-11-01T23:58:00.000Z,
11,1323051686118805504,20201101: Dr. Peter Lin on human trials for a COVID-19 vaccine https://t.co/H5WbaCxulp,2020-11-01T23:57:57.000Z,
12,1323051626647617536,"Takeda to supply Moderna’s vaccine in Japan
https://t.co/SI4e8RSYD3",2020-11-01T23:57:43.000Z,
13,1323051592753520641,"@MetroMayorSteve Corona Alert:  broad virtual/online clinical study shows that those who had the flu vaccine did not develop serious Covid-19
https://t.co/Cy3A0AhxGp",2020-11-01T23:57:35.000Z,
14,1323051463845838851,"@mayor_anderson Corona Alert:  broad virtual/online clinical study shows that those who had the flu vaccine did not develop serious Covid-19
https://t.co/Cy3A0AhxGp",2020-11-01T23:57:04.000Z,
15,1323051397793763329,"@rajnathsingh 
HPCL is planning on 04/11/20 to buy back shares to increase their share value

Instead Oil Companies IOC/HPC/ONGC/GAIL should use their funds to give Bonus &amp; Dividends to Government to help fight Covid-19 &amp; to provide free Vaccine  to all to boost Economy",2020-11-01T23:56:48.000Z,
16,1323051384753725440,It may be time to reset expectations on when we’ll get a Covid-19 vaccine https://t.co/WRidXgbvny @statnewsより,2020-11-01T23:56:45.000Z,
17,1323051328818585600,@HakeemAngeIes @ThegirlJT Thanks for saving my grandma from that house fire earlier this week. Also how is your research coming along for the Covid-19 vaccine?,2020-11-01T23:56:32.000Z,
18,1323051305972101120,"@seanhannity President Trump’s hope that an economic recovery, a Covid vaccine or a Biden scandal would vault him ahead in election prospects has faded with the last light of October.

 https://t.co/p5dzBhuWlT",2020-11-01T23:56:27.000Z,
20,1323051233960222721,"@greatermcr Corona Alert:  broad virtual/online clinical study shows that those who had the flu vaccine did not develop serious Covid-19
https://t.co/Cy3A0AhxGp",2020-11-01T23:56:09.000Z,
21,1323051189802573824,"#WheresTheVaccine Trump says U.S. could start distributing a coronavirus vaccine in October, contradicting CDC's timeline https://t.co/PwHwJyY2xu",2020-11-01T23:55:59.000Z,
22,1323051188309401601,"@dedsecluke @Angela39510476 @Simonr501 @jayar1947 @christopherhope @lewis_goodall @Nigel_Farage @TiceRichard Mortality rate for flu is less than 0.1% and we have a vaccine

Also the hospitalisation rate for Covid is at least 5x that of flu meaning its capacity to overwhelm healthcare systems is greater resulting in the decreased survival rate

Why is this so difficult to understand?",2020-11-01T23:55:59.000Z,
23,1323051129530322944,"@ArvindKejriwal 
HPCL is planning on 04/11/20 to buy back shares to increase their share value

Instead Oil Companies IOC/HPC/ONGC/GAIL should use their funds to give Bonus &amp; Dividends to Government to help fight Covid-19 &amp; to provide free Vaccine  to all to boost Economy",2020-11-01T23:55:45.000Z,
24,1323051066624151553,"@IvankaTrump President Trump’s hope that an economic recovery, a Covid vaccine or a Biden scandal would vault him ahead in election prospects has faded with the last light of October.

 https://t.co/p5dzBhuWlT",2020-11-01T23:55:30.000Z,
25,1323051058957090824,"@MayorofGM Corona Alert:  broad virtual/online clinical study shows that those who had the flu vaccine did not develop serious Covid-19
https://t.co/Cy3A0AhxGp",2020-11-01T23:55:28.000Z,
26,1323051033665269760,"@IvankaTrump @realDonaldTrump President Trump’s hope that an economic recovery, a Covid vaccine or a Biden scandal would vault him ahead in election prospects has faded with the last light of October.

 https://t.co/p5dzBhuWlT",2020-11-01T23:55:22.000Z,
27,1323050973816709120,"OMG. I cannot wait for Covid to disappear. Just had my bestie on the phone telling me about all the new cases in the UK &amp; how it spreads so quickly 🤦‍♀️ &amp; all about the vaccine coming early next year.
I’ve tried SO HARD to wake her 😔😢",2020-11-01T23:55:07.000Z,
28,1323050950341365761,"@AndyBurnhamGM Corona Alert:  broad virtual/online clinical study shows that those who had the flu vaccine did not develop serious Covid-19
https://t.co/Cy3A0AhxGp",2020-11-01T23:55:02.000Z,
29,1323050949984751616,"@ScottPresler @DonaldJTrumpJr President Trump’s hope that an economic recovery, a Covid vaccine or a Biden scandal would vault him ahead in election prospects has faded with the last light of October.

 https://t.co/p5dzBhuWlT",2020-11-01T23:55:02.000Z,
30,1323050941554315264,"You should get a seasonal flu vaccine every fall 🍂, but flu shots are especially important during COVID-19. If you haven't gotten yours yet, now is the time. 💉

Visit https://t.co/TTGfns7tbR to find a provider near you.

https://t.co/RXqv4Cmww3 https://t.co/4iqu4c7HZl",2020-11-01T23:55:00.000Z,
31,1323050892459831296,"@AmitShah 

HPCL is planning on 04/11/20 to buy back shares to increase their share value .

Instead Oil Companies IOC/HPC/ONGC/GAIL should use their funds to give Bonus &amp; Dividends to Government to help fight Covid-19 &amp; to provide free Vaccine  to all to boost Economy",2020-11-01T23:54:48.000Z,
