,id,text,created_at,withheld
0,1311818146848833536,The State Corporation Commission's response to Gov. Northam's request to extend the moratorium on utility disconnections beyond October 5 is...NOPE. https://t.co/fq5NrCW9Ie https://t.co/gep3fHy1DC,2020-10-01T23:59:53.000Z,
1,1311818119501971456,Moderna's messenger-RNA vaccine to prevent COVID19 will NOT be ready by the November election https://t.co/B8x9Jdapaw via @medical_xpress,2020-10-01T23:59:46.000Z,
2,1311818118256230400,https://t.co/Hz0hAfqYAy,2020-10-01T23:59:46.000Z,
3,1311817963469758464,Pfizer CEO says U.S. presidential debate was 'disappointing' in memo to employees that criticizes politicizing co... https://t.co/koB1y7ZDLh,2020-10-01T23:59:09.000Z,
4,1311817897468145665,"COVID-19 vaccine won't simply end the pandemic, experts say https://t.co/9Q6oKN01Sy",2020-10-01T23:58:53.000Z,
5,1311817858494521344,"ｺﾁﾗ､ﾓｽｸﾜ市のﾜｸﾁﾝ臨床試験窓口
40,000人受付中(条件ｱﾘ)(•ө•)♡
https://t.co/wXWacN80XU",2020-10-01T23:58:44.000Z,
6,1311817836520779776,Wistar Institute lab tech and immigrant on frontline developing COVID-19 vaccine - Oct 1 @ 7:57 PM ET https://t.co/NhgglzvR0Q,2020-10-01T23:58:39.000Z,
7,1311817827922444289,"Coronavirus vaccine trial subjects report extreme exhaustion, shortness of breath, day-long headaches and shaking so violently that one of them cracked a tooth https://t.co/tCbYeJl8wr",2020-10-01T23:58:37.000Z,
8,1311817708078465024,US Drugmaker Moderna Says COVID-19 Vaccine Won’t Be Ready Before 2020 Election https://t.co/14WEWi4iT8 https://t.co/EixRtjXSVB,2020-10-01T23:58:08.000Z,
9,1311817702432886784,‘Littered with failure’: Scientists warn race to produce vaccine could be harmful | The New Daily https://t.co/2vF34KB40z,2020-10-01T23:58:07.000Z,
10,1311817639438712835,https://t.co/PjPPfCU2Y1,2020-10-01T23:57:52.000Z,
11,1311817574024265728,"“Whatever they do, authorities should avoid flaunting their relationship with vaccine manufacturers” Take the jab or lose your job: Medical journal calls for a MANDATORY Covid vaccine” https://t.co/OSY8NYeWBH",2020-10-01T23:57:36.000Z,
12,1311817535160020995,"@harry_horton @MadyWaterer @PhilipDaviesUK Why is it that Hancock and Boris both claimed to have had coronavirus/Covid, then got cured within a week without a vaccine, plus none of them wear masks either. This alone shows how fake this virus is. Hancock has betrayed the British people.. MUST WATCH https://t.co/OEucOVYlJG",2020-10-01T23:57:27.000Z,
13,1311817458399866881,"Coronavirus vaccine trial participants: Exhaustion, fever, headaches https://t.co/tbmsclC1Py",2020-10-01T23:57:09.000Z,
14,1311817389621809152,Myelitis observed in two COVID-19 vaccine trial participants is a common vaccine injury https://t.co/wxOOfXjnC3,2020-10-01T23:56:52.000Z,
15,1311817236697415680,"朝翻訳

&gt;Novavax Inc.は、10月中旬に米国で3万人を対象とした独自のワクチン試験の登録を開始する予定

October is a critical month in the race for a Covid-19 vaccine, with developments that could lead to some Americans getting inoculated before the year is out https://t.co/ext17OO2Mv",2020-10-01T23:56:16.000Z,
16,1311817222453522432,@SonOfARivers @civtech96734 @ThirdEyeShut @judybattista @BenStandig There's a vaccine and treatments for pneumonia not caused by Covid.,2020-10-01T23:56:12.000Z,
17,1311817179990421505,Covid: Vaccine will 'not return life to normal in spring' https://t.co/olnlYypRhb https://t.co/mxBeWlwhIU,2020-10-01T23:56:02.000Z,
18,1311817118816628736,"1]  Medical Journals and those hiding behind them do not have integrity.  Definition of  Stupid.... ""knowing    
Take the jab or lose your job: Medical journal calls for a MANDATORY Covid vaccine, says ‘noncompliance should incur a penalty’ — RT USA News https://t.co/X7eOizueU6",2020-10-01T23:55:48.000Z,
19,1311817058384924673,States asked to plan outreach of Covid vaccine https://t.co/4pldhnyQkL https://t.co/h5K7EDp8eq,2020-10-01T23:55:33.000Z,
20,1311816844068577282,"'Ensuring public confidence in vaccine safety and effectiveness will be crucial to facilitate uptake. General practitioners are at the forefront of public health, and one of the most trusted sources for patients' #CovidVaccine #COVID19Aus #racgp

https://t.co/EWYEAQSBKG",2020-10-01T23:54:42.000Z,
21,1311816784631136256,Covid-19: Dr Anthony Fauci 'cautiously optimistic' of coronavirus vaccine by year's end #travel https://t.co/TXocyYX9qq,2020-10-01T23:54:28.000Z,
