,id,text,created_at
0,1444089745953497090,"@HughBoone9 @Teddys_Mum @GauteNilsen not if they tested positive, not if they died in hospital with raging covid symptoms, not if they were part of the excess deaths unseen in all previous years, all this is evidence of death from covid, unlike your claim that every death after vaccine was bc of vaccine",2021-10-01T23:59:59.000Z
1,1444089743130648585,Biden against giving honorable discharge to troops refusing COVID vaccine: demands dishonorable discharge be on the table https://t.co/GVTFlQvYMP,2021-10-01T23:59:59.000Z
2,1444089728320647171,"@AndrewW09454228 @JFreshHockey Thousands of pro athletes vaccinated, with zero bad side effects. Two of the small number of NHLers who caught Covid while unvaccinated had serious heart complications, including his own teammate. He has questions about the vaccine, but not much concern about the virus?",2021-10-01T23:59:55.000Z
3,1444089726890356739,"Covid vaccine side effects are not being recorded. This is genocide on a mass scale. This is what doctors in America are reporting. 

FDA has already warned about heart inflammation in Pfizer and Moderna vax. 

@ImranKhanPTI 
@OfficialDGISPR 
@zfrmrza
@OfficialNcoc https://t.co/zlevEOCLPh https://t.co/aTVWj9sgRL",2021-10-01T23:59:55.000Z
4,1444089721341235208,"@aftfarm @CTVNews The Covid shot, unlike a real vaccine, helps only the person who has taken it - so by default, that makes it a personal choice for medical treatment.",2021-10-01T23:59:54.000Z
5,1444089719881715713,"Full FDA approval of Pfizer vaccine ‘a key milestone,’ Biden says - The Washington Post.  He lied!!!The Pfizer vaccine approved by the FDA is NOT the vaccine being given out in the US - Senator Ron Johnson https://t.co/8j59qBNWQE",2021-10-01T23:59:53.000Z
6,1444089713003048962,Get the flu shot and COVID vaccine if eligible: Health officials https://t.co/VUnn9dovCB,2021-10-01T23:59:52.000Z
7,1444089700743065600,@ScottBWhite @Reuters How many people have died from covid compared to those dying of this *because* of the vaccine? It's not a crazy statement.,2021-10-01T23:59:49.000Z
8,1444089688839520257,@RosannaTrades It costs $700 for 10 pills. It's not preventive but a post infection treatment with 48% efficacy. I think vaccines are still our best defense against Covid-19. I am afraid this news may cause more vaccine hesitancy and prolong the pandemic.,2021-10-01T23:59:46.000Z
9,1444089688025800704,https://t.co/Jt7JkXy953,2021-10-01T23:59:46.000Z
10,1444089685664534530,"@youdopoo @TheHeathens_ @KroenkeOut86 @Kxng7i @FootballlForAll I do think it does help with the temporal  controlling of the virus but similar to the flu Covid will always be around and i think its unfair to have the vaccine forced upon somebody especially if  the people who are truly worried for their health, are vaccinated. You feel me?",2021-10-01T23:59:45.000Z
11,1444089684427251715,"The Supreme Court is pro-vaccine and anti-coronavirus. Vaccine mandates are legal, they work, and they protect the most vulnerable. https://t.co/9qogqIzJ5S",2021-10-01T23:59:45.000Z
12,1444089684087484421,"@silverstang59 @AngryFleas @janeyK_KAG @LauraLeeBordas @lisamikolFL @itsaboutdamnti1 @McmastersMoose @crazyjo43424351 @TrueThaiNews @Angel_13_Rising @JDSIRLANCELOT @cathyjo26199086 @sherrylynnww1 @R5Philly @DeeSnuts200 @TheMattBoyScout @WontBeSilent2 @doug_wright1 @KittyKatStaxx00 @LampBurning @DorisMele @kcinor @traveler002 @ImagedByDesign @wolverinesegg @StevexKimmel @Billenjoylife @bridgeman07 @Truths_Matter @YearRooster @TJ2020landslide @LittleBigTop3 @nofeardreams @Symonsez13 @SaveDemocrcyPlz @The_Helm_Again @EagleCanyonBeef @strup2823 @VitaminUSA1 @IAmNotAndyRose @scotland_4 @TheCenterStripe @ContraAffair @Leerose1985 @tweettruth2me @JackPosobiec @dbongino @RedStateYankee @_SierraBreeze_ @Emilia26774099 FACTOID: Majority of sick &amp; dying COVID patients are unvaccinated.
Your anti-vaccine anti-mask Fauci propaganda is killing people👎
And you’re a paramedic?💁",2021-10-01T23:59:45.000Z
13,1444089683093377033,Tommy Lee Considering The Covid-19 Vaccine https://t.co/qdxcHIRXsk,2021-10-01T23:59:44.000Z
14,1444089660247089155,Crime Against Humanity: The Untold Story of COVID ‘Vaccine’ Injuries - A Documentary https://t.co/SkKJ5FsNIP,2021-10-01T23:59:39.000Z
15,1444089651354996737,"@fintandoyle46 @ZubyMusic Man you really gotta learn about things before talking on the internet... Most effective vaccine ever produced (Polio) averages about 97% efficacy. Covid vax is about 95%. Flu vax is 40-60% depending on varient. Yes, it's among the most effective we've ever had.",2021-10-01T23:59:37.000Z
16,1444089625614618624,thinking about the irony in the fact that i texted dream the day i got my first covid vaccine,2021-10-01T23:59:31.000Z
17,1444089620963082247,"Total handwringing nanny-state bullshit.

What use is a COVID-19 vaccine when they’re more likely to catch the clap. 🙄

#auspol #wapol #wanews https://t.co/cBHBtgcr1q",2021-10-01T23:59:30.000Z
18,1444089589807861760,"@CTVNews Yet they let more kids have vaccine injuries, than there are Covid cases,",2021-10-01T23:59:22.000Z
19,1444089577891897344,"Mulher ferida por vacina COVID implora ajuda a agências de saúde, enquanto agência de notícias local mata história após pressão da Pfizer.

https://t.co/WnTdyiZq8m",2021-10-01T23:59:19.000Z
20,1444089576490893312,Rand Paul Grills HHS Secretary for Mocking Coronavirus Survivors Refusing Vaccine as ‘Flat Earthers’: ‘Arrogance Coupled with Authoritarianism’ https://t.co/Ii6Za4l1mi,2021-10-01T23:59:19.000Z
