,id,text,created_at,withheld
0,1300946518820696064,"@Garold139 @gamestopcorp ""Gme pursuing covid vaccine """,2020-09-01T23:59:55.000Z,
1,1300946505818349569,US refuses to join international effort to develop Covid-19 vaccine https://t.co/RvicE6e70T,2020-09-01T23:59:52.000Z,
2,1300946505533214720,"The US will not join the WHO-linked global effort to develop a COVID-19 vaccine, WaPo reports  https://t.co/jCmMWbev0O",2020-09-01T23:59:51.000Z,
3,1300946498243485696,@_computerfreak @ih8evrybdy I’m sure a “I’ve had a vaccine for covid” will be attached to welfare payments too,2020-09-01T23:59:50.000Z,
4,1300946492266512385,Are we the baddies? https://t.co/131m8yxD9M,2020-09-01T23:59:48.000Z,
5,1300946470577664000,"THIS TRUMP DECISION COULD PUT THE USA AT THE BACK OF THE LINE IF COVAX DISCOVERS A VALID VACCINE. 

US says it won't join global effort to find COVID-19 vaccine https://t.co/4AxjcDNj1x via @flipboard",2020-09-01T23:59:43.000Z,
6,1300946459873943558,"U.S. says it won’t join WHO-linked effort to develop, distribute coronavirus vaccine https://t.co/LTsCfai3HI",2020-09-01T23:59:41.000Z,
7,1300946418740453376,"U.S. says it won’t join WHO-linked effort to develop, distribute coronavirus vaccine - The Washington Post
Thus creating an ""endless stream of self-defeating moments."" https://t.co/SJh826i4Aq",2020-09-01T23:59:31.000Z,
8,1300946385823559683,"STATNews, Helen Branswell: U.S. advisory group lays out detailed recommendations on how to prioritize Covid-19 vaccine https://t.co/uGRM7kELCX An expert panel wrote the priority setting framework for the National Academies of Sciences, Engineering, and Medicine https://t.co/KwEh4LQrWm",2020-09-01T23:59:23.000Z,
9,1300946373647294465,"@cnnbrk Aaaaaand this is why I won't trust a covid 19 vaccine created by the US. And no, I'm NOT an anti-vaxxer.",2020-09-01T23:59:20.000Z,
10,1300946363673391106,"Antibodies that people make to fight the new coronavirus last for at least four months after diagnosis and do not fade quickly, as some earlier reports suggested, scientists have found. https://t.co/g3zzGmTGpk",2020-09-01T23:59:18.000Z,
11,1300946325895368704,"U.S. says it won’t join WHO-linked effort to develop, distribute coronavirus vaccine - The Washington Post.      Denial the current occupant of the HW a second Term. He is the most dangerous president in the US history.  https://t.co/38gKuJ0JP2",2020-09-01T23:59:09.000Z,
12,1300946297428549632,"@katiecouric Is it safe to push out a vaccine without completing all clinical trials?
Are the positive numbers down because testing is down?
Doesn’t it make sense to work with the WHO to collaborate with other countries and scientists who have been working on vaccines for Covid?",2020-09-01T23:59:02.000Z,
13,1300946287928451073,What??? https://t.co/0oZd37RV5P,2020-09-01T23:59:00.000Z,
14,1300946251517579265,"@Julie86764013 @realDonaldTrump Wrong again, Trumpers. Many more sources verified. https://t.co/AtIN3Tu7hv",2020-09-01T23:58:51.000Z,
15,1300946221612195842,Wait until they find out that the Russian #COVID-19 vaccine is delivered through an infusion of borscht #soup #soupgate,2020-09-01T23:58:44.000Z,
16,1300946221113147392,"Top story: - The Washington Post https://t.co/xYn5Q2DTxc, see more https://t.co/8dnoEHkaVy",2020-09-01T23:58:44.000Z,
