,id,text,created_at
0,1433218100791500804,COVID-19 vaccine required for anyone working at Waterloo Region’s hospitals https://t.co/OlztFUcIh1 via @wr_record,2021-09-01T23:59:57.000Z
1,1433218098849406977,"“Duke enacted a vaccine mandate for staff and a mask requirement for the entire campus after a Covid-19 outbreak infected nearly 350 students and 15 employees to start the fall semester.”
The university, which instituted a Covid vaccine requirement for students earlier… 1/2",2021-09-01T23:59:57.000Z
2,1433218086086184965,More than 15 million coronavirus vaccine doses discarded in U.S. since March: CDC https://t.co/mJqSZ6y6dC,2021-09-01T23:59:54.000Z
3,1433218077655584768,"Beltway Insider: Biden/Kabul/ISIS Attack, Hochul, COVID/Vaccine Totals, RFK Killer, Charlie Watts https://t.co/oVb8RWjeb1",2021-09-01T23:59:52.000Z
4,1433218046848638976,"Ask for COVID vaccine proof, face a $5,000 fine in Florida
https://t.co/84cWu2lMq8",2021-09-01T23:59:44.000Z
5,1433218019673747458,"""Ontario announces COVID-19 vaccine passport; proof of vaccination will be required for indoor restaurants, gyms, theatres, starting Sept. 22""  https://t.co/42RHBffhXI",2021-09-01T23:59:38.000Z
6,1433218017924616192,"@momendeavors @choo_ek @renissance_1 It's obvious those chanting were horse's asses. They'll try anything besides the vaccine. If tRUMP told them that horse sh*t was a cure they would eat it. As if ivermectin has been tested for COVID. This is now about survival of the fittest, and the stubborn GOP is losing voters.",2021-09-01T23:59:38.000Z
7,1433218011121557511,"@atrupar Wait, isn't monoclonal antibody treatment still only authorized for emergency use authorization EUA, making it more experimental than the pfizer vaccine? 
https://t.co/5GOG4zQBoR",2021-09-01T23:59:36.000Z
8,1433218006742708225,Still Unsure About the COVID-19 Vaccine? Three Reasons Now is the Right Time To Get Your Shot https://t.co/sMp06bRpYQ,2021-09-01T23:59:35.000Z
9,1433217990456131584,My granny got her Covid vaccine!! (For the longest she was convinced it was “Mark of the Beast”) so this is a huge deal 😂🥳,2021-09-01T23:59:31.000Z
10,1433217983296331777,"Māori health providers are starting Covid-19 vaccination clinics specifically for Māori to boost vaccination rates in Taranaki.Māori in the region have had first vaccine shots at 61 per cent of the non-Māori rate, and second shots at 56 per cent ... https://t.co/DCvESIdhnC",2021-09-01T23:59:29.000Z
11,1433217982419853315,"Please listen
Regardless of politics/vaccine position. Inadequate healthcare is the crisis!
COVID over 99% survival
Where have tax💵  gone
population growth
healthcare system eroded
Rationalization of epic incompetence through compliance has proven disastrous!
#NoVaccinePassports https://t.co/eKV52QwOWS",2021-09-01T23:59:29.000Z
12,1433217979672629253,"@VaccineTruth2 We need data from reliable sources where records of deaths with and without vaccine appear, comparisons of covid mortality versus vaccine mortality in children,etc.
Any statistical data that can serve as evidence before a Court. Help for a lawsuit in Spain
https://t.co/hqdb93j1pP",2021-09-01T23:59:28.000Z
